data_idx,correction,original_annotation,reason
59,SELECT fname FROM Student WHERE StuID IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' INTERSECT SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog'),select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'cat' intersect select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'dog',two students have the same name
7,"SELECT song_name ,  song_release_year FROM singer  WHERE age = (SELECT min(age) FROM singer)","SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",tie breaking
32,SELECT Name FROM stadium WHERE Stadium_ID  NOT IN (SELECT Stadium_ID FROM concert WHERE YEAR  =  2014),SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,cannot handle non-unique name
270,"SELECT Manager_name , District FROM shop WHERE Number_products = ( SELECT MAX(Number_products) FROM shop)","SELECT manager_name ,  district FROM shop ORDER BY number_products DESC LIMIT 1",tie breaking
279,SELECT  t1.name FROM employee AS t1 JOIN evaluation AS t2 ON t1.Employee_ID  =  t2.Employee_ID WHERE bonus  =  (SELECT max(bonus) FROM evaluation),SELECT t1.name FROM employee AS t1 JOIN evaluation AS t2 ON t1.Employee_ID  =  t2.Employee_ID ORDER BY t2.bonus DESC LIMIT 1,tie breaking
6,"SELECT  song_name, song_release_year FROM singer WHERE age  =  (SELECT min(age) FROM singer)","SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",cannot handle ties
656,SELECT Money_Rank FROM poker_player WHERE Earnings=(SELECT max(Earnings) FROM poker_player),SELECT Money_Rank FROM poker_player ORDER BY Earnings DESC LIMIT 1,tie breaking
421,"SELECT t2.Museum_ID ,  t1.Name FROM museum AS t1 JOIN visit AS t2 ON t1.Museum_ID  =  t2.Museum_ID GROUP BY t2.Museum_ID, t1.Name HAVING COUNT(*)  =  (SELECT MAX(count) FROM (SELECT COUNT(*) AS count FROM visit GROUP BY Museum_ID) AS counttable)","SELECT t2.Museum_ID ,  t1.name FROM museum AS t1 JOIN visit AS t2 ON t1.Museum_ID  =  t2.Museum_ID GROUP BY t2.Museum_ID ORDER BY count(*) DESC LIMIT 1",cannot handle ties
882,"SELECT ID, (SELECT count(*) FROM Friend where student_id = T1.ID) FROM Highschooler as T1","SELECT student_id ,  count(*) FROM Friend GROUP BY student_id",join issue
655,SELECT Money_Rank FROM poker_player where Earnings = (SELECT max(Earnings) FROM poker_player),SELECT Money_Rank FROM poker_player ORDER BY Earnings DESC LIMIT 1,tie breaking
879,"SELECT grade FROM Highschooler GROUP BY grade HAVING count(*)  =  (SELECT max(T1.count) FROM (SELECT grade ,  count(*) AS count FROM Highschooler GROUP BY grade) AS T1)",SELECT grade FROM Highschooler GROUP BY grade ORDER BY count(*) DESC LIMIT 1,tie breaking
961,SELECT T1.last_name FROM Owners AS T1 JOIN Dogs AS T2 ON T1.owner_id  =  T2.owner_id WHERE T2.age = (SELECT min(age) FROM Dogs),SELECT T1.last_name FROM Owners AS T1 JOIN Dogs AS T2 ON T1.owner_id  =  T2.owner_id WHERE T2.age  =  ( SELECT max(age) FROM Dogs ),annotation error
839,SELECT Name FROM conductor WHERE YEAR_OF_WORK = (SELECT MAX(YEAR_OF_WORK) FROM conductor),SELECT Name FROM conductor ORDER BY Year_of_Work DESC LIMIT 1,tie breaking
341,"SELECT template_type_code ,  count(document_id) FROM Templates LEFT JOIN Documents USING (Template_ID) GROUP BY template_type_code","SELECT T1.template_type_code ,  count(*) FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_type_code",join issue
346,SELECT template_type_code FROM Ref_Template_Types WHERE template_type_code NOT IN (SELECT T1.template_type_code FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id),SELECT template_type_code FROM Templates EXCEPT SELECT template_type_code FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id,annotation error; some code are not used for any template
415,"SELECT museum_id ,  name FROM museum WHERE Num_of_Staff = (SELECT MAX(Num_of_Staff) FROM museum)","SELECT museum_id ,  name FROM museum ORDER BY num_of_staff DESC LIMIT 1",cannot handle ties
944,"SELECT T1.first_name ,  T1.last_name FROM Professionals AS T1 JOIN Treatments AS T2 ON T1.professional_id  =  T2.professional_id WHERE cost_of_treatment  <  ( select avg(cost_of_treatment) FROM Treatments )","SELECT DISTINCT T1.first_name ,  T1.last_name FROM Professionals AS T1 JOIN Treatments AS T2 WHERE cost_of_treatment  <  ( SELECT avg(cost_of_treatment) FROM Treatments )",SPIDER wrong annotation
311,"SELECT T1.template_id ,   T1.template_type_code FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_id ,   T1.template_type_code HAVING count(*)  =  (SELECT max(T3.count_of_docs) FROM (SELECT T1.template_id ,   count(*) AS count_of_docs FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_id) AS T3)","SELECT T1.template_id ,  T2.Template_Type_Code FROM Documents AS T1 JOIN Templates AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_id ORDER BY count(*) DESC LIMIT 1",cannot handle ties
42,"SELECT name ,  location FROM stadium AS T1 JOIN concert AS T2 ON T1.stadium_id  =  T2.stadium_id  JOIN concert AS T3 ON T2.stadium_id  =  T3.stadium_id WHERE T2.year  =  '2014' AND T3.year  =  '2015'","SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015",intersect with ID
852,SELECT Record_Company FROM orchestra GROUP BY Record_Company HAVING COUNT(*)  =  (SELECT COUNT(*) FROM orchestra GROUP BY Record_Company ORDER BY COUNT(*) DESC LIMIT 1),SELECT Record_Company FROM orchestra GROUP BY Record_Company ORDER BY COUNT(*) DESC LIMIT 1,tie breaking
396,"SELECT Hometown FROM teacher GROUP BY Hometown HAVING COUNT(*)  =  (SELECT MAX(h) FROM (SELECT Hometown ,  COUNT(*) AS h FROM teacher GROUP BY Hometown))",SELECT Hometown FROM teacher GROUP BY Hometown ORDER BY COUNT(*) DESC LIMIT 1,tie breaking
960,SELECT T1.last_name FROM Owners AS T1 JOIN Dogs AS T2 ON T1.owner_id  =  T2.owner_id WHERE T2.age  =  (SELECT MIN(age) FROM Dogs),SELECT T1.last_name FROM Owners AS T1 JOIN Dogs AS T2 ON T1.owner_id  =  T2.owner_id WHERE T2.age  =  ( SELECT max(age) FROM Dogs ),SPIDER wrong annotation
838,SELECT Name FROM conductor WHERE Year_of_Work = (SELECT MAX(YEAR_OF_WORK) FROM conductor),SELECT Name FROM conductor ORDER BY Year_of_Work DESC LIMIT 1,tie breaking
721,"SELECT Name FROM country WHERE Continent  =  ""Asia""  AND lifeExpectancy  =  (SELECT min(lifeExpectancy) FROM country WHERE Continent  =  ""Asia"")","SELECT Name FROM country WHERE Continent  =  ""Asia"" ORDER BY LifeExpectancy LIMIT 1","SPIDER cannot handle null value, which is present in the world_1 database"
391,SELECT Hometown FROM teacher WHERE AGE = (SELECT MIN(Age) FROM teacher),SELECT Hometown FROM teacher ORDER BY Age ASC LIMIT 1,tie breaking
782,SELECT Code FROM country WHERE Code NOT IN (SELECT CountryCode FROM countrylanguage WHERE Language  =  'English') AND GovernmentForm  NOT LIKE '%Republic%',"SELECT Code FROM country WHERE GovernmentForm != ""Republic"" EXCEPT SELECT CountryCode FROM countrylanguage WHERE LANGUAGE  =  ""English""",Federal Republic also counts as Replublic
335,"SELECT version_number ,  template_type_code FROM Templates WHERE version_number = (SELECT min(version_number) FROM Templates)","SELECT min(Version_Number) ,  template_type_code FROM Templates",cannot handle ties
878,"SELECT grade FROM Highschooler GROUP BY grade HAVING COUNT(*) = (SELECT MAX(count) FROM (SELECT grade, COUNT(*) AS count FROM Highschooler GROUP BY grade))",SELECT grade FROM Highschooler GROUP BY grade ORDER BY count(*) DESC LIMIT 1,cannot handle ties
66,SELECT t1.fname FROM student AS t1 JOIN has_pet AS t2 ON t1.stuid  =  t2.stuid JOIN pets AS t3 ON t3.petid  =  t2.petid WHERE t3.pettype  =  'dog' AND t1.stuid NOT IN (SELECT t1.stuid FROM student AS t1 JOIN has_pet AS t2 ON t1.stuid  =  t2.stuid JOIN pets AS t3 ON t3.petid  =  t2.petid WHERE t3.pettype  =  'cat'),"SELECT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog' AND T1.stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')",annotation wrong
476,"SELECT country_code FROM players GROUP BY country_code HAVING COUNT(player_id) = (SELECT MAX(country_count) FROM (SELECT country_code , COUNT(player_id) as country_count FROM players GROUP BY country_code))",SELECT country_code FROM players GROUP BY country_code ORDER BY count(*) DESC LIMIT 1,cannot handle ties
529,"SELECT  T1.semester_name ,  T1.semester_id FROM  Semesters AS T1 JOIN Student_Enrolment AS T2 ON T1.semester_id  =  T2.semester_id GROUP BY T1.semester_name ,  T1.semester_id HAVING count(*) =  ( SELECT max(T3.count) FROM ( SELECT count(*) AS count FROM Student_Enrolment AS T4 GROUP BY T4.semester_id ) AS T3 )","SELECT T1.semester_name ,  T1.semester_id FROM Semesters AS T1 JOIN Student_Enrolment AS T2 ON T1.semester_id  =  T2.semester_id GROUP BY T1.semester_id ORDER BY count(*) DESC LIMIT 1",Cannot handle tie breaking
471,"SELECT first_name ,  sum(ranking_points) FROM players  JOIN rankings ON players.player_id  =  rankings.player_id GROUP BY players.player_id","SELECT sum(ranking_points) ,  T1.first_name FROM players AS T1 JOIN rankings AS T2 ON T1.player_id  =  T2.player_id GROUP BY T1.first_name",cannot handle non-unique name
280,SELECT t1.name FROM employee AS t1 JOIN evaluation AS t2 ON t1.Employee_ID  =  t2.Employee_ID WHERE bonus = (SELECT MAX(bonus) FROM evaluation),SELECT t1.name FROM employee AS t1 JOIN evaluation AS t2 ON t1.Employee_ID  =  t2.Employee_ID ORDER BY t2.bonus DESC LIMIT 1,tie breaking
309,"SELECT t1.template_id , count(t2.document_id) AS no_of_docs FROM Templates AS t1 LEFT JOIN Documents AS t2 ON t1.template_id  =  t2.template_id GROUP BY t1.template_id","SELECT template_id ,  count(*) FROM Documents GROUP BY template_id",join issue
637,"SELECT T1.series_name, T1.country FROM TV_Channel AS T1 JOIN cartoon AS T2 ON T1.id = T2.Channel WHERE T2.directed_by  =  'Ben Jones' AND T2.directed_by  =  'Michael Chang'","SELECT T1.series_name ,  T1.country FROM TV_Channel AS T1 JOIN cartoon AS T2 ON T1.id = T2.Channel WHERE T2.directed_by  =  'Michael Chang' INTERSECT SELECT T1.series_name ,  T1.country FROM TV_Channel AS T1 JOIN cartoon AS T2 ON T1.id = T2.Channel WHERE T2.directed_by  =  'Ben Jones'","""AND"" not ""Or"". given that all cartoon is directed by one director, the result should all be empty"
68,"SELECT petType, weight FROM pets WHERE pet_age = (SELECT MIN(pet_age) FROM pets)","SELECT pettype ,  weight FROM pets ORDER BY pet_age LIMIT 1",tie breaking
141,SELECT T1.Model FROM MODEL_LIST AS T1 JOIN CAR_NAMES AS T2 ON T1.Model  =  T2.Model GROUP BY T1.Model HAVING COUNT(*)  =  ( SELECT MAX(Number) FROM ( SELECT COUNT(*) AS Number FROM CAR_NAMES GROUP BY Model ) );,SELECT Model FROM CAR_NAMES GROUP BY Model ORDER BY count(*) DESC LIMIT 1;,Cannot handle tie breaking
1015,"SELECT T1.Citizenship ,  max(T2.Count) FROM singer AS T1 JOIN (SELECT Citizenship ,  COUNT(*) as Count FROM singer GROUP BY Citizenship) AS T2 ON T1.Citizenship  =  T2.Citizenship",select citizenship from singer group by citizenship order by count(*) desc limit 1,tie breaking
500,"SELECT T1.name ,  T1.id FROM ship AS T1 JOIN death AS T2 ON T1.id  =  T2.caused_by_ship_id GROUP BY T1.id ,  T1.name HAVING sum(injured)  =  (SELECT sum(injured) FROM ship JOIN death ON ship.id  =  death.caused_by_ship_id GROUP BY death.caused_by_ship_id ORDER BY sum(injured) DESC LIMIT 1)","SELECT T2.id ,  T2.name FROM death AS T1 JOIN ship AS t2 ON T1.caused_by_ship_id  =  T2.id GROUP BY T2.id ORDER BY count(*) DESC LIMIT 1",annotation wrong
883,"SELECT T1.id, (SELECT count(*) FROM Friend AS T2 WHERE T2.student_id  =  T1.id) AS friend_count FROM Highschooler AS T1 GROUP BY T1.id","SELECT student_id ,  count(*) FROM Friend GROUP BY student_id",join issue
571,"SELECT C1.student_course_id ,  count(*) FROM Student_Enrolment_Courses AS C1 JOIN Transcript_Contents AS C2 ON C1.student_course_id  =  C2.student_course_id GROUP BY C1.student_course_id HAVING count(*)  =  ( SELECT max(count) FROM ( SELECT count(*) AS `count` FROM Transcript_Contents GROUP BY student_course_id ) )","SELECT count(*) ,  student_course_id FROM Transcript_Contents GROUP BY student_course_id ORDER BY count(*) DESC LIMIT 1",tie breaking
777,"SELECT Name FROM country WHERE Continent  =  ""Asia"" AND population > (SELECT MAX(Population) FROM country WHERE Continent  =  ""Africa"")","SELECT Name FROM country WHERE Continent  =  ""Asia""  AND population  >  (SELECT min(population) FROM country WHERE Continent  =  ""Africa"")",annotation error
779,"SELECT CODE FROM country WHERE CODE NOT IN (SELECT CountryCode FROM countrylanguage WHERE Language  =  ""English"")","SELECT CountryCode FROM countrylanguage EXCEPT SELECT CountryCode FROM countrylanguage WHERE LANGUAGE  =  ""English""",If a country is not in the countrylanguage table
25,"SELECT t2.name ,  t2.capacity FROM stadium AS t2 JOIN (SELECT t1.Stadium_ID FROM (SELECT Stadium_ID ,  count(*) AS total from concert WHERE year >  2013 GROUP BY Stadium_ID) as t1 WHERE t1.total =  (SELECT max(total) FROM (SELECT Stadium_ID ,  count(*) AS total from concert WHERE year >  2013 GROUP BY Stadium_ID))) as t1 ON t2.Stadium_ID =  t1.Stadium_ID","select t2.name ,  t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  >  2013 group by t2.stadium_id order by count(*) desc limit 1",cannot handle ties
35,"SELECT Name , count(t1.concert_id) FROM singer LEFT JOIN singer_in_concert as t1 ON singer.singer_id  =  t1.singer_id GROUP BY Name","SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id",join issue
222,"SELECT T1.City FROM AIRPORTS AS T1 JOIN FLIGHTS AS T2 ON T1.AirportCode  =  T2.DestAirport GROUP BY T1.City HAVING COUNT(T2.DestAirport) == (SELECT MAX(CountDestAirport) FROM(SELECT T1.City, COUNT(T2.DestAirport) AS CountDestAirport FROM AIRPORTS AS T1 JOIN FLIGHTS AS T2 ON T1.AirportCode  =  T2.DestAirport GROUP BY T1.City) AS T3)",SELECT T1.City FROM AIRPORTS AS T1 JOIN FLIGHTS AS T2 ON T1.AirportCode  =  T2.DestAirport GROUP BY T1.City ORDER BY count(*) DESC LIMIT 1,tie breaking
420,"SELECT t1.id ,  t1.name ,  t1.Level_of_membership FROM visitor AS t1 JOIN visit AS t2 ON t1.id  =  t2.visitor_id GROUP BY t1.id ,  t1.name ,  t1.Level_of_membership HAVING sum(t2.total_spent)  =  (SELECT max(total_spent) FROM (SELECT t3.visitor_id ,  sum(t3.total_spent) AS total_spent FROM visit AS t3 GROUP BY t3.visitor_id ) AS total_spents )","SELECT t2.visitor_id ,  t1.name ,  t1.Level_of_membership FROM visitor AS t1 JOIN visit AS t2 ON t1.id  =  t2.visitor_id GROUP BY t2.visitor_id ORDER BY sum(t2.Total_spent) DESC LIMIT 1",cannot handle ties
